date,price,open,high,low,vol.,change %
2015-07-12,310.4,292.0,315.9,291.3,120700.0,6.33
2015-07-13,290.4,310.4,310.9,276.9,146850.0,-6.47
2015-07-14,287.0,290.4,297.0,285.2,60620.0,-1.17
2015-07-15,283.4,287.0,292.9,283.2,59580.0,-1.23
2015-07-16,276.6,283.4,290.8,273.3,121320.0,-2.41
2015-07-17,279.6,276.6,280.8,271.2,62120.0,1.1
2015-07-18,274.0,279.6,282.5,243.2,55340.0,-1.99
2015-07-19,273.2,274.0,277.1,271.9,30200.0,-0.32
2015-07-20,277.7,273.2,278.9,271.8,46600.0,1.65
2015-07-21,275.1,277.7,281.0,274.2,49050.0,-0.93
2015-07-22,276.5,275.1,277.4,273.1,41970.0,0.5
2015-07-23,275.5,276.5,277.9,274.5,35660.0,-0.34
2015-07-24,288.4,275.5,289.8,274.3,74360.0,4.66
2015-07-25,288.7,288.4,291.2,284.7,41650.0,0.13
2015-07-26,291.8,288.7,293.3,286.8,30990.0,1.05
2015-07-27,293.0,291.8,295.8,285.4,69710.0,0.42
2015-07-28,293.7,293.0,296.7,291.7,49070.0,0.24
2015-07-29,288.4,293.7,294.7,286.9,50670.0,-1.81
2015-07-30,287.0,288.4,289.9,284.9,44790.0,-0.47
2015-07-31,283.7,287.0,288.7,280.8,49210.0,-1.15
2015-08-01,280.5,283.7,284.5,276.3,39430.0,-1.15
2015-08-02,281.4,280.5,282.5,275.9,35670.0,0.32
2015-08-03,281.6,281.4,285.0,278.9,45890.0,0.08
2015-08-04,284.3,281.6,285.7,279.6,44840.0,0.97
2015-08-05,281.7,284.3,285.5,280.5,38290.0,-0.91
2015-08-06,278.0,281.7,282.0,276.5,33260.0,-1.32
2015-08-07,277.9,278.0,279.6,274.3,42810.0,-0.04
2015-08-08,258.6,277.9,278.9,257.4,82540.0,-6.94
2015-08-09,263.9,258.6,266.8,258.6,57480.0,2.04
2015-08-10,263.3,263.9,266.6,260.5,48570.0,-0.22
2015-08-11,269.0,263.3,269.9,261.4,51360.0,2.18
2015-08-12,267.7,269.0,271.5,263.7,56730.0,-0.51
2015-08-13,263.4,267.7,268.4,261.3,56490.0,-1.58
2015-08-14,265.0,263.4,267.2,260.2,52330.0,0.6
